"ataque"	"posse"	"desf_ataque"	"noacao"	"duracao"	"qtde_acoes"	"periodo"	"EA1x"	"EA1y"	"EA2x"	"EA2y"	"EA3x"	"EA3y"	"EA4x"	"EA4y"	"EA5x"	"EA5y"	"EA6x"	"EA6y"	"EA7x"	"EA7y"	"EA8x"	"EA8y"	"EA9x"	"EA9y"	"EA10x"	"EA10y"	"EA11x"	"EA11y"	"EB1x"	"EB1y"	"EB2x"	"EB2y"	"EB3x"	"EB3y"	"EB4x"	"EB4y"	"EB5x"	"EB5y"	"EB6x"	"EB6y"	"EB7x"	"EB7y"	"EB8x"	"EB8y"	"EB9x"	"EB9y"	"EB10x"	"EB10y"	"EB11x"	"EB11y"	"bolax"	"bolay"	"centEAx"	"centEAy"	"centEBx"	"centEBy"	"dEA1_cent"	"dEA2_cent"	"dEA3_cent"	"dEA4_cent"	"dEA5_cent"	"dEA6_cent"	"dEA7_cent"	"dEA8_cent"	"dEA9_cent"	"dEA10_cent"	"dEA11_cent"	"dEB1_cent"	"dEB2_cent"	"dEB3_cent"	"dEB4_cent"	"dEB5_cent"	"dEB6_cent"	"dEB7_cent"	"dEB8_cent"	"dEB9_cent"	"dEB10_cent"	"dEB11_cent"
1	"EB"	3	1	0.13986	2	1	-0.104478042307692	37.5489298807692	36.8702536919231	17.7586714276923	32.8849505723077	25.2926394680769	32.818087445	36.0306974857692	33.61692992	49.6896424257692	51.4024095238462	27.5866193042308	39.76523341	30.9968150073077	50.2913896211538	40.6464609573077	49.6580868257692	10.5565182019231	46.1663625496154	54.3353741888462	58.6551206811538	47.0694677761538	112.875438594538	39.2756689584615	62.3923039473077	59.4257861696154	77.43788531	45.7310666326923	77.4801520657692	29.4659145823077	58.2215428265385	8.41943891538462	57.6331968176923	49.4860768684615	67.3821650830769	37.8495048246154	67.4514793853846	27.7174607453846	58.56645411	15.4492881761538	58.0814954588462	36.4712772765385	56.8082788926923	27.1789211153846	62.8251730769231	34.7193076923077	39.2749405634965	34.3192578294406	68.5754902265315	34.2245822059091	39.5116364859193	16.7342658936593	11.0660052802542	6.67983523061231	16.3792303144237	13.8713144966867	3.36348737800403	12.707486686218	25.9323606566852	21.1704071357052	23.1994589322896	44.5870072230914	25.9487595452666	14.5245905600428	10.097349412695	27.8051939757098	18.7796636730278	3.81734618530613	6.60417090359461	21.2766422963246	10.7318253171863	13.7234019026138
1	"EB"	3	2	0.13986	2	1	3.8730001619469	39.8613456640708	27.4166623078761	18.7675109301327	24.1160606472566	28.6647747790708	27.167289114292	37.9922937703097	25.422055619292	48.3606700884513	42.2384749980973	26.4674087741593	34.482783819823	29.6215135313717	46.2680117917257	35.5241189497345	38.8263926235841	8.89949009079646	41.913876850177	52.9922933632743	64.2228278597345	29.4056567925664	107.897637215372	39.3632798852212	57.2531307104867	54.3007506629646	67.4381568697788	40.6362246727434	69.2979407883628	26.1909147269469	41.0741683064602	8.91189431973451	36.7670498322124	42.051238220354	56.9011536009292	36.9274255215044	54.3590961325221	25.5664468230531	41.6670816564602	14.793050069469	46.6226087602212	32.4356519072124	36.1690533917699	31.8367813021681	51.4320296460177	33.2984376106195	34.1770396176187	32.4142797030853	55.9497342967796	32.0921507373974	31.6026285942607	15.5451924913079	11.088990308514	9.14414301136321	18.3963946145324	10.055121484404	3.71137614414975	12.5314483170137	24.2358664016854	22.1103191537943	31.7135596521477	52.4766152404264	22.561430505794	14.4257735890367	14.6106390029417	27.8691129930658	21.8847105181559	5.08866211160836	6.74386367336815	22.5620967681094	9.5773171047883	20.0208350983233
1	"EA"	3	3	0.339105	4	1	7.56837362218543	47.6527157545033	29.0469550779139	13.3572948080464	13.7727201540066	19.3789636185762	7.98522506655629	59.8190528027815	21.8898808200662	66.800182602394	43.7290913449338	27.1556455490066	30.6062259993046	37.7987840571854	40.8001809266556	49.1890799678146	48.8907863640397	11.7392401954967	56.3770345052649	63.2679456560265	60.6861820512252	34.5825897758609	97.5674589183775	40.0243069454305	58.9702710694702	58.2316385976821	65.9485975950993	46.2841702287086	64.0448522363576	33.1614249459934	55.5849806510927	16.5041083177815	24.1508053428808	57.3096418641722	43.7084037794371	48.3062391657285	50.936227164106	31.8741185412252	39.5980297531457	18.2617018709272	34.4501831603642	32.5421063689073	23.550172565	42.2473367641722	7.48148675496689	47.5092817880795	32.8502414483775	39.158317707972	50.7736347486665	38.6133448737026	27.0116975426354	26.4355975239079	27.5166264054321	32.3567611993922	30.3148516277586	16.6896369498793	3.39892923309711	13.6632772828371	32.6903372220675	33.7292849881922	28.6734642123931	46.8225017840331	21.3599388553479	17.0078895968089	14.3939036303493	23.2939291189656	32.6512407564272	12.1813557710146	6.84723880571262	23.2739469333014	17.8516725522586	27.5070419588146
1	"EA"	3	4	0.339105	4	1	2.97158023797468	44.0754419197468	35.6341106327848	3.19694729936709	9.8822382721519	10.8543717927848	9.54637793797468	59.7262980063291	21.5364108210127	73.1212663432025	42.6128296155696	28.5463367027848	30.1347009848101	39.578606525443	34.4358339197468	54.4508068717722	57.8656858317722	18.5850084944304	58.9911831106329	61.6264271902532	62.1649754220253	43.2326277250633	96.4916016825317	39.3475730911392	61.6283375810127	60.7853372648101	67.1246097556962	48.610096944557	65.6305567127848	35.7189130901266	61.6539085743038	18.5213977803797	27.4094857111392	61.9735539503797	35.6622695748101	54.2493019270886	48.703419168481	33.1035905151899	39.2668029775949	16.1574389259494	29.8798921673418	34.0024329393671	12.6305004548101	52.6297983834177	7.37340253164557	52.9291227848101	33.2523569805869	39.7267398973797	49.6437622145915	41.3726758920368	30.5975658489354	36.610762332953	37.1498854354832	31.0199371560919	35.4028107436767	14.6216921700761	4.15164247023673	14.8784420234256	32.446771774221	33.8085987974084	29.1306144823996	46.9050198582058	22.8349316285301	18.9387006782247	16.9804814297364	25.8204809737809	30.31540896056	19.1157264022323	8.32361889063176	27.2832892049351	21.1211649608124	38.7067278593727
1	"EA"	3	5	0.339105	4	1	4.47735016888889	35.6029485964444	28.5175208024444	2.76104894244444	6.92489162555556	11.0354695353333	9.91658425888889	59.1725042887778	19.2954632698889	70.4627210846556	38.802168931	24.4629806226667	27.2774538967778	35.6935193645556	30.3808667108889	52.6387440616667	55.1992340498889	16.9413051373333	56.2545462406667	58.9587824287778	59.9732443885556	42.4966177348889	96.6268509357778	39.128300951	59.4459917686667	58.0983490152222	62.9336624772222	46.852394061	61.7743594398889	33.3033738401111	57.9469011162222	18.4053340487778	21.0150820038889	57.0809228126667	33.3749959506667	48.3599830401111	44.5913837067778	28.9498175422222	38.2119055607778	13.9696158294444	25.755705998	29.1468808692222	6.06549394888889	38.172041726	4.81676666666667	28.21723	30.6381203948586	37.293331072504	46.1583939006162	37.406092157798	26.3303488992835	34.6512974386065	35.3866527192162	30.1439832905031	35.0646412280534	15.2608481529983	4.41781325059143	15.3651267938576	31.8988965212621	33.5579825263617	29.7978624548664	50.5620655523016	24.6023643406881	19.2537652337182	16.1464557227362	22.3657536645848	31.9389943370238	16.8665880298642	8.60169564052597	24.7645891089942	22.0393318122155	40.276207452536
1	"EA"	3	6	0.339105	4	1	1.78300405357143	23.7570431340714	32.013447006	1.18127775964286	17.2744097759286	7.92044547635714	14.9120292291429	46.4423603332857	25.4017196706429	61.76043859335	37.8846300841429	12.8612586566429	27.2387906839286	21.0082796634286	43.0039085588571	39.9393381002857	52.8398586975714	8.60920724892857	59.408548124	54.0773592654286	57.234059838	28.778201695	95.3546282695	37.2311684076429	61.6138329662143	52.1161761702143	63.2435255294286	36.2740338272857	61.2927582351429	24.7223132435	56.3307036191429	12.1057141842143	25.3807633540714	42.9932792702857	36.2442629124286	28.2699185206429	42.0664346439286	15.618283238	33.7954669362857	7.07728779857143	23.3291881435714	10.8621290005	14.1063820647857	27.6601383664286	30.2633128571429	12.5409135714286	33.5449459747078	27.8486554478565	46.6143587885909	26.8118583661169	32.0453971700249	26.7496403892977	25.7561113356003	26.3379519461721	34.8835001689791	15.6400706190762	9.32654064968	15.9745506519006	27.2970812633637	36.860530191802	23.7328816720774	49.8901275879303	29.425474843207	19.1584242145634	14.8322093707536	17.6324549106956	26.708224419533	10.9317271921118	12.1034492842162	23.7141094614629	28.2965448251332	32.566224172603
2	"EB"	3	7	0.412365	6	1	4.32681076363636	25.4002443509091	45.6894107597403	8.81100002181818	31.2688103303896	15.1031320677922	29.827425921039	38.5195068205195	36.8162936149351	54.4275952197403	51.4954749497403	16.6062718668831	41.011029508961	21.811090964026	58.1657189431169	34.0621995748052	60.4391059757143	11.7214593016883	69.5980750794805	45.8366863066234	68.16279484	26.9908388401299	96.1976709818182	36.9971832681818	74.0644330449351	47.2310995388312	74.3669911874026	29.7970290901299	71.0850339572727	20.6005200350649	60.8132685197403	10.7744546083117	35.9263547987013	41.4296887598701	52.7517749428571	28.6027760987013	52.3441335416883	17.7098071261039	41.5658613418182	11.6107956457143	33.3868389993507	10.4051869531169	24.0550248537662	27.4112686376623	74.0030415584416	26.0678454545455	45.1637227897048	27.2081841213577	56.050671469941	25.6881645237899	40.8840523534725	18.4047930400279	18.4761140564279	19.0741915815241	28.4955972238969	12.4553676254628	6.83221823151888	14.6989222132635	21.7624879473514	30.738709282593	23.0461216271717	41.7099586581108	28.1034204652511	18.9613283348322	15.9346254623165	15.7026373142873	25.5508394807962	4.86768325793947	8.79914046081111	20.1987048951058	27.385477735153	32.042777004382
2	"EB"	3	8	0.412365	6	1	7.46687702631579	28.2381594809211	53.705663725	11.1070659778947	41.6341706906579	20.8793583343421	40.3014712855263	32.5656849459211	42.4893540923684	47.4069540834211	64.8490153111842	19.8791032396053	54.3407112528947	22.2297961294737	63.0279245572368	30.8706954867105	73.7186128463158	15.2179402252632	72.8403369797368	44.3766725834211	75.9061686832895	21.2073794442105	100.323052689605	34.7722818648684	78.8151639851316	44.272958325	73.1780146163158	23.5935896743421	76.3781785157895	14.9612368939474	64.5321351010526	7.78940674315789	41.0323249503947	42.5209682073684	63.3334041005263	32.6927410076316	60.0654267943421	21.6958637747368	47.9349929621053	10.7325184278947	42.8250438176316	15.9375490992105	33.3396415763158	27.8260321994737	72.863622368421	19.9878368421053	53.6618460409569	26.7253463573804	61.9779435553828	25.1631951106938	46.2261729186003	15.6283536371359	13.3929519001855	14.6215098796155	23.5512735009658	13.2948005009629	4.80140539845842	10.2788885671993	23.2195481735929	26.115143321056	22.9635969622251	39.5313797487456	25.482076454013	11.3534920582615	17.6875527024183	17.5840971682307	27.2043113832923	7.90135164559723	4.00608540578182	20.1381626030135	21.2608427695714	28.7637763686409
2	"EB"	3	9	0.412365	6	1	11.8649267488152	32.7620134861611	57.267174212891	15.108205957109	52.1166051599052	26.0340700030806	52.8257961652607	34.3318093019905	50.4431267423697	45.1563916414218	80.9247358614692	26.2631714709479	65.3789878574882	28.3416273941232	71.781382173981	31.3980917248815	89.9297560969668	19.7823680519431	77.6314560916114	48.7489782621327	85.0850240349763	30.1535383249763	100.68511623981	28.021795737109	82.4305599579147	49.0967456118957	87.5011767756398	35.5470838052607	93.813654278436	21.0023596806161	70.9604298459716	7.41459488056872	49.8535221903318	46.5118702483886	79.9071122511374	34.99038548891	66.9681226677725	25.3760805667773	54.7555269335071	13.8676586977725	53.792999102891	21.1185872487204	44.43343520891	31.1372744212322	87.8143018957346	21.780182464455	63.2044519223395	30.7345696017062	71.3728777683929	28.5531305806592	51.4023705904996	16.7615710146724	12.0482862218029	10.9946971984342	19.3731561665856	18.7474101382464	3.61088769288309	8.68722294306095	29.0494061501692	23.171899818325	22.0336029934316	29.8861897574902	23.6698164928347	17.6771837451575	23.885557181257	21.1763089446359	28.0539033580983	10.7629491337869	5.53573380578057	22.2175866632788	19.0968699694667	27.0927891982925
2	"EB"	3	10	0.412365	6	1	11.7446393641221	35.6935705725191	48.0927101470229	8.5649712329771	45.0116491503817	22.0109638770229	43.5614935232061	30.0886079653435	45.1887466415267	43.5198412533588	64.0247655718321	10.6760090929008	57.2558710989313	22.8385688732824	62.2618462373282	31.3290877819847	73.3865806532061	8.36170168870229	66.9250527431298	46.6975167787786	78.3861285030534	31.9235846900763	101.984053121527	26.5875943910687	71.3639589478626	57.2364880892366	83.9382079270229	35.6024264619084	87.9314352793893	14.5930627336641	65.9623892206107	5.54832742641221	46.6912039929008	54.1343180859542	72.9277504447328	31.2996536554962	67.0177277248855	20.786282449542	48.7882562132061	1.2731580989313	54.2018570921374	29.3207120635878	44.589186628626	34.7931546874809	65.5063816793893	7.00343664122137	54.1672257848855	26.5185839824497	67.7632751448092	28.2886525584802	43.4485388176589	18.9670361438922	10.2079173275055	11.200846037928	19.2342780809194	18.7011868443076	4.82890603488259	9.42546116790692	26.5375836782472	23.875350989574	24.8201610905409	34.3301964563122	29.1765184365474	17.7697038573557	24.4358530161145	22.85706554971	33.3655837601068	6.00005569127734	7.83167040671346	33.0693560316662	14.0117289144347	24.0744793208251
2	"EB"	3	11	0.412365	6	1	8.45430468580645	37.1491965412258	39.5021315311613	15.1735968099355	35.3759952929677	25.2417377185161	33.7719520343226	34.8731301000645	33.1476792832903	49.9858742064516	53.6229883973548	17.1684667074839	45.6392130003871	28.5803655569032	51.3765115412903	34.1829480751613	55.2829193979355	9.73200996877419	52.8884799000645	52.3867320654839	62.0841203616774	31.9382822004516	101.370018962774	33.1945291136129	57.71034607	63.5747406388129	75.3660543804516	39.7598682997419	77.2985495838064	16.2851082141935	64.0786651952903	7.69050805374194	35.7866793115484	64.7434190185742	65.1264805948387	35.421586070129	61.0298173398064	24.182235275871	42.6706746972903	5.86426776341935	46.1158977199355	38.313536744	36.0084175725161	33.8914709943871	52.5634709677419	32.4578058064516	42.8314814023871	30.5829399954956	60.2328728571144	32.9928427442258	35.0516863679834	15.7660122370196	9.23475888041423	10.0334828073617	21.7040769556087	17.2352035370665	4.12356512804838	9.35063220950635	24.3281239364076	24.1186418684452	19.4283919475348	41.1410249881495	30.9508686968471	16.5793121519143	23.8920249806082	25.6404061858474	40.0823561376835	5.7411575587838	8.88497277506244	32.3579474501626	15.1739063773942	24.3350539192562
